[FIXES]
AAMMM N036.10.25.899 W114.51.55.789
CURSE N043.42.45.190 W103.04.08.870
CURTI N043.41.29.980 W123.08.24.510
CURUM N037.26.07.760 W097.23.14.190
CURVA N042.39.43.160 W099.59.52.280
CURVN N041.52.45.520 W121.37.45.680
CURVU N048.08.30.980 W105.13.01.380
CURYA N042.00.58.000 W102.46.01.510
CUSAC N045.01.26.280 W093.01.27.070
CUSAK N038.00.13.050 W113.02.51.260
CUSAM N032.59.36.020 W115.30.57.850
CUSBU N047.29.54.680 W122.19.03.230
CUSDA N046.56.13.650 W112.01.01.990
CUSED N044.10.24.250 W101.49.18.710
CUSEL N048.54.00.750 W122.38.19.970
CUSET N043.08.19.370 W094.21.58.490
CUSEX N037.49.46.980 W121.07.55.110
CUSGA N044.45.36.500 W107.17.41.240
CUSHO N042.25.15.390 W095.46.15.420
CUSHY N041.50.50.280 W103.43.42.560
CUSIF N045.26.50.010 W112.31.19.540
CUSIL N033.13.42.040 W104.36.21.170
CUSIP N042.33.15.400 W105.04.19.550
CUSKI N048.53.06.720 W100.29.59.730
CUSMU N043.36.06.660 W116.33.44.690
CUSOK N039.40.15.980 W094.53.54.750
CUSOM N046.24.17.400 W120.27.52.540
CUSPI N047.01.58.320 W119.24.48.970
CUSRI N046.29.06.820 W111.38.13.340
CUSSO N043.17.48.950 W123.20.55.150
CUSUP N041.02.55.530 W096.52.14.230
CUSVA N044.16.09.180 W120.51.17.530
CUTAD N035.29.24.210 W114.42.07.020
CUTAP N036.46.23.950 W113.44.03.360
CUTAS N046.17.13.140 W119.00.56.030
CUTBO N041.07.05.420 W095.42.55.900
CUTEK N041.20.19.990 W112.10.00.240
CUTEL N044.54.27.500 W124.01.25.300
CUTEP N038.45.20.360 W097.36.50.100
CUTIK N037.27.41.470 W097.31.30.740
CUTIX N035.13.09.690 W106.42.24.380
CUTKU N036.32.07.260 W100.07.26.910
CUTNI N038.39.50.780 W098.53.20.110
CUTNO N034.52.17.750 W116.45.49.920
CUTNU N032.52.16.000 W106.05.55.720
CUTOK N042.18.17.530 W121.48.48.400
CUTOR N033.52.27.140 W117.46.32.650
CUTOV N038.16.23.670 W095.43.29.150
CUTRO N035.36.16.980 W112.23.00.000
CUTSU N036.21.40.440 W097.55.22.790
CUTTE N038.52.04.920 W098.53.32.330
CUTTL N048.50.54.650 W093.08.22.510
CUTTR N042.41.21.390 W122.43.42.670
CUTUL N036.44.28.000 W108.14.20.800
CUTUR N045.39.24.720 W111.11.05.860
CUTVA N040.23.27.160 W117.35.59.790
CUVAC N046.41.58.790 W120.23.37.300
CUVAK N040.48.20.790 W111.34.04.310
CUVAM N032.53.40.000 W115.08.18.000
CUVAS N038.30.10.160 W106.36.57.390
CUVAX N036.25.48.510 W114.49.56.360
CUVED N034.40.15.450 W117.09.12.390
CUVEK N033.35.19.000 W115.00.23.000
CUVEL N043.38.13.630 W116.19.44.900
CUVEM N040.33.16.850 W095.30.13.320
CUVES N047.37.02.380 W117.37.06.840
CUVGO N034.18.39.130 W103.24.40.160
CUVIB N036.30.13.400 W100.44.59.800
CUVLA N043.07.40.790 W095.04.23.170
CUVMA N032.55.19.730 W106.02.25.260
CUVOV N034.25.54.010 W109.18.44.700
CUVPO N042.39.59.560 W094.23.47.850
CUVSA N037.41.46.560 W122.07.00.070
CUVSI N038.13.46.360 W112.40.51.880
CUXAM N037.26.29.350 W105.52.11.120
CUXEP N044.14.34.280 W120.53.36.710
CUXEX N031.37.17.320 W109.41.26.470
CUXIT N033.57.15.370 W116.17.47.860
CUXOP N036.25.09.560 W097.16.38.730
CUXUR N046.27.29.080 W094.01.19.050
CUYAD N044.33.17.310 W121.09.12.290
CUYAK N048.19.33.290 W099.54.11.260
CUYAP N040.27.51.910 W122.17.41.830
CUYDA N043.37.12.880 W094.23.01.790
CUZIN N032.00.07.760 W106.41.57.880
CUZUP N037.26.28.510 W122.09.11.450
CWARD N033.23.02.450 W117.54.33.380
CYANO N046.40.25.360 W116.59.25.890
CYCLN N041.24.46.490 W093.28.52.350
CYKLE N037.10.59.990 W116.02.35.000
CYMBL N037.34.15.170 W121.50.37.070
CYMOL N044.23.57.150 W097.03.43.660
CYNDE N033.13.44.750 W117.19.09.610
CYOTE N034.57.35.690 W106.22.44.800
CYPRE N039.02.29.650 W094.48.12.350
CYPRS N036.25.20.410 W122.25.55.850
DAAAY N034.01.35.990 W117.01.51.660
DAACE N048.14.55.690 W114.24.53.620
DAAYE N038.00.40.430 W105.46.44.190
DABLE N044.28.47.750 W095.52.25.730
DABOY N041.53.19.050 W094.27.34.270
DABRE N038.51.50.680 W096.44.30.420
DABSE N035.18.23.460 W097.28.24.520
DACAB N043.34.14.360 W092.54.55.580
DACAD N043.23.32.170 W110.55.12.190
DACEF N037.51.35.460 W098.11.37.970
DACEM N038.27.59.000 W127.00.00.000
DACER N038.18.07.800 W122.39.43.260
DACPE N047.05.59.320 W120.14.27.870
DADAC N040.32.30.890 W096.48.02.490
DADDY N034.40.56.400 W106.11.21.620
DAFFI N045.50.04.580 W123.02.18.260
DAFHY N043.31.46.430 W100.02.00.520
DAFNY N034.16.41.800 W114.00.04.200
DAGGS N034.58.07.810 W116.57.43.440
DAGNE N043.49.13.180 W117.00.31.110
DAGTT N043.30.38.500 W116.19.34.120
DAHJR N034.01.37.830 W118.21.30.220
DAHNI N045.54.37.290 W107.36.18.890
DAHRL N044.21.53.520 W093.22.00.750
DAHRY N038.11.10.520 W107.59.40.780
DAILL N035.38.12.500 W097.22.54.760
DAIRE N046.50.28.960 W114.27.36.050
DAIRL N040.27.55.560 W106.19.39.070
DAISY N034.15.34.170 W120.07.52.530
DAKDE N041.21.56.870 W107.25.04.140
DAKEC N048.14.19.460 W106.24.29.190
DAKHI N048.26.21.010 W100.06.58.820
DAKKA N039.31.26.660 W101.54.09.000
DAKLE N042.27.47.720 W099.18.22.690
DAKME N047.38.34.570 W097.18.53.400
DAKPE N044.25.58.370 W098.42.23.050
DALCO N033.53.51.440 W117.16.09.830
DALKY N032.49.41.420 W111.05.48.120
DALON N039.04.07.640 W122.15.58.990
DAMAR N047.22.39.010 W119.10.24.060
DAMER N036.08.16.600 W115.05.00.890
DAMSE N046.14.43.730 W119.25.30.530
DAMUG N033.30.38.000 W118.10.20.000
DANAH N033.28.51.620 W117.41.54.150
DANBY N035.18.41.170 W115.47.09.110
DANDD N039.23.49.540 W103.56.20.880
DANES N045.04.25.530 W124.00.18.260
DANEY N033.52.26.430 W103.40.21.760
DANHI N045.43.11.920 W093.14.09.650
DANKS N035.37.49.670 W099.19.32.440
DANLE N032.57.35.330 W105.59.04.400
DANLL N039.53.09.480 W111.52.14.010
DANNE N037.36.22.110 W105.58.00.560
DANNK N032.45.08.580 W106.04.42.640
DANNL N033.54.07.660 W117.11.37.780
DANNN N033.41.25.040 W117.05.52.390
DANVE N042.52.08.950 W102.04.37.570
DANYY N034.32.23.000 W119.10.57.560
DAPEY N032.08.53.640 W104.09.34.080
DAPGE N039.47.41.840 W104.39.39.430
DAPKE N038.32.23.490 W101.45.01.560
DAPME N033.57.32.360 W117.13.28.700
DAPTE N046.16.26.080 W114.07.30.440
DARBI N038.17.57.030 W119.43.53.660
DARCE N031.53.12.210 W108.13.21.460
DARDN N036.32.33.810 W114.27.23.930
DARIN N048.19.55.350 W121.48.46.920
DARLL N048.08.05.070 W096.06.13.610
DARNE N037.35.35.790 W122.17.32.130
DARRK N033.55.01.060 W118.49.57.180
DARSE N038.23.49.350 W097.23.46.290
DARTS N034.09.21.770 W118.16.10.540
DASHE N038.52.03.210 W121.24.01.020
DASHH N034.58.24.220 W117.45.00.140
DASHI N039.05.33.450 W094.47.18.400
DASHL N045.30.24.790 W098.30.32.870
DASHY N039.22.46.320 W104.40.43.580
DASVE N037.36.12.190 W121.24.33.780
DATES N046.19.09.540 W118.11.25.360
DATME N036.39.51.150 W106.06.56.760
DATSA N047.33.30.760 W111.47.09.120
DATSE N035.22.51.780 W101.32.12.200
DATTA N035.08.41.140 W098.14.58.890
DATTS N037.49.51.080 W122.24.47.930
DATTT N039.21.16.390 W119.30.28.380
DATVE N046.49.04.000 W120.38.40.710
DAUBS N034.50.07.670 W102.10.48.620
DAUSN N039.09.17.120 W094.42.14.840
DAVAY N034.47.03.240 W116.59.14.720
DAVDD N040.19.56.040 W107.04.51.890
DAVEN N047.43.10.220 W118.11.56.650
DAVEY N036.18.38.040 W097.59.20.610
DAVEZ N032.00.01.310 W111.23.32.260
DAVGE N038.22.28.750 W098.13.44.170
DAVIE N042.27.31.890 W096.27.17.030
DAVNE N031.47.14.680 W106.15.09.650
DAVTE N040.01.41.700 W104.34.47.540
DAVVY N039.32.20.970 W106.21.38.140
DAWES N042.45.18.380 W103.10.28.390
DAWKS N035.34.48.270 W097.59.25.210
DAWNA N034.15.53.920 W117.06.47.020
DAWNI N035.50.28.030 W115.09.18.700
DAWNY N034.38.27.730 W120.28.26.380
DAWSN N043.55.23.710 W099.29.53.240
DAWSO N045.01.24.620 W096.13.39.890
DAXIQ N048.04.55.370 W104.52.21.220
DAXZU N041.06.10.160 W095.57.43.810
DAYAL N048.46.17.380 W095.40.01.850
DAYAV N046.39.45.050 W096.57.27.490
DAYLE N045.37.24.750 W093.55.34.200
DAYMN N038.59.19.000 W115.51.00.000
DAYSS N045.43.28.670 W122.40.59.230
DBACK N033.55.34.450 W111.20.45.980
DBIGE N036.26.44.760 W116.36.29.610
DBLEM N044.42.00.420 W092.54.42.850
DBLTN N039.16.10.520 W106.52.47.710
DBLUS N048.19.00.000 W117.24.00.000
DCEEE N047.23.07.660 W111.30.26.060
DDOEE N038.15.44.610 W097.52.28.090
DDUKE N033.09.18.960 W111.51.15.190
DEALR N036.01.08.350 W115.11.56.660
DEALT N042.47.28.970 W106.01.48.830
DEANE N039.35.13.770 W104.38.40.900
DEANN N037.12.34.000 W111.42.47.000
DEANO N034.18.59.990 W119.24.59.220
DEBBI N044.13.15.660 W105.52.18.040
DEBEC N039.39.58.260 W094.54.24.880
DEBEY N032.48.57.400 W116.54.23.560
DEBIB N036.23.38.770 W110.28.59.590
DEBLE N042.39.51.730 W099.49.08.420
DEBRA N033.49.21.980 W103.28.03.230
DEBRE N048.06.38.570 W114.19.24.640
DEBSE N039.20.39.710 W096.35.27.490
DECAD N038.01.15.690 W097.36.31.440
DECAN N031.56.28.490 W105.39.55.090
DECAS N033.49.24.930 W115.27.23.800
DECAY N036.04.35.080 W114.59.51.860
DECEA N033.50.49.000 W118.04.36.000
DECEL N036.38.48.590 W102.52.48.480
DECEP N044.42.04.080 W116.03.51.330
DECEV N043.20.42.220 W110.51.54.240
DECGA N042.16.45.450 W096.31.49.360
DECKA N041.56.10.450 W096.15.58.170
DECKY N040.59.47.540 W098.39.57.600
DECNE N040.38.40.740 W098.22.12.070
DECOR N034.00.54.230 W117.46.13.070
DECOT N037.36.21.730 W122.02.55.490
DECTU N033.09.21.030 W111.58.16.250
DEDAY N038.17.41.650 W097.30.08.960
DEDBE N047.49.17.140 W122.04.09.060
DEDHD N038.20.07.860 W122.06.46.110
DEDKE N036.48.52.460 W112.37.28.830
DEDNE N042.30.56.060 W109.35.23.930
DEDWT N034.01.18.100 W099.15.09.240
DEEAN N038.20.56.990 W123.18.08.240
DEEBO N048.27.29.270 W101.26.55.340
DEEII N037.48.52.610 W121.52.02.750
DEEJY N046.50.31.940 W096.30.40.400
DEELE N043.35.00.990 W094.54.19.880
DEELM N047.32.53.240 W111.16.02.480
DEERS N034.34.51.480 W111.53.50.830
DEEZE N037.48.09.150 W097.55.53.090
DEFIS N040.38.38.800 W111.52.32.230
DEFKI N043.38.02.890 W116.37.28.150
DEFSA N041.46.28.570 W093.00.19.550
DEFYA N046.21.53.750 W094.12.15.690
DEGCA N035.18.51.880 W108.00.23.770
DEGCE N040.21.02.830 W095.22.08.220
DEGHU N040.57.24.430 W115.57.01.730
DEGLE N033.16.05.100 W117.07.01.730
DEGNE N033.46.26.640 W117.11.01.580
DEHAM N033.41.12.470 W117.07.19.190
DEHLR N045.44.28.490 W108.40.51.860
DEHOG N034.23.24.940 W110.00.45.140
DEIGN N040.01.10.270 W102.10.50.270
DEKEC N032.50.41.170 W103.00.39.190
DEKRE N046.53.45.590 W103.56.13.690
DEKRT N033.49.58.970 W117.40.39.060
DEKTE N040.26.46.250 W104.07.54.650
DELAT N036.54.14.000 W095.41.33.720
DELAY N041.24.32.180 W093.53.04.550
DELDE N044.48.09.360 W096.55.32.250
DELEO N036.48.25.020 W104.07.32.460
DELKE N039.09.50.820 W112.34.51.500
DELLA N033.04.07.490 W111.22.17.530
DELLY N032.22.02.030 W112.03.39.790
DELNO N035.42.57.770 W119.12.50.730
DELPE N038.41.30.490 W112.07.43.020
DELSE N033.26.26.800 W111.57.28.370
DELTS N037.19.22.820 W105.32.25.950
DELYE N038.05.53.440 W096.12.20.750
DELZY N044.13.54.940 W093.13.16.330
DEMDY N035.17.21.600 W113.54.41.800
DEMES N043.05.30.640 W096.24.46.200
DEMFA N034.58.21.950 W120.32.29.820
DEMKY N048.46.42.440 W097.44.11.160
DEMLA N036.22.56.220 W097.59.12.480
DEMLL N043.57.55.000 W093.29.29.000
DEMPE N034.03.17.480 W117.43.49.020
DEMTY N041.54.46.510 W102.37.01.470
DENCA N037.11.28.340 W101.45.54.430
DENCO N040.31.17.810 W103.13.34.680
DENEY N037.30.01.610 W097.15.51.640
DENRE N040.43.06.920 W114.16.24.880
DENTE N039.39.56.820 W098.01.25.010
DEORO N032.46.44.480 W117.02.43.300
DEPAY N039.21.34.060 W101.21.01.350
DEPDE N046.58.54.960 W120.18.58.570
DEPHE N032.33.52.920 W110.29.49.060
DEPTY N043.11.03.170 W116.03.52.300
DERAY N044.18.17.660 W123.19.29.400
DERBB N035.15.21.240 W119.38.29.210
DERFF N034.53.16.380 W097.58.09.000
DERMA N036.31.04.960 W108.28.47.560
DERMT N041.52.18.880 W117.10.34.300
DEROY N043.16.26.120 W123.58.29.640
DERPE N035.53.44.850 W096.43.00.840
DERRI N039.02.56.850 W095.19.06.140
DERSO N043.21.42.630 W115.08.01.660
DERTY N035.48.44.480 W108.40.14.900
DERVL N033.28.04.920 W111.45.19.770
DERYK N044.16.15.300 W105.31.19.380
DERYL N039.27.48.750 W104.36.43.820
DESOT N039.03.37.400 W094.56.26.360
DESRT N036.19.43.190 W120.14.01.710
DESTE N045.30.25.860 W092.16.09.240
DETAN N038.22.22.300 W112.37.46.690
DETAY N040.26.06.280 W120.36.07.670
DETEC N035.54.29.870 W106.26.53.680
DETEE N039.24.12.510 W094.36.59.540
DETRO N042.07.37.230 W093.54.31.780
DEVEC N036.04.06.260 W105.13.31.790
DEVGE N046.57.03.150 W104.01.18.230
DEVLE N044.12.43.520 W117.14.56.630
DEVLL N048.06.54.810 W098.54.45.070
DEVLN N035.19.23.040 W097.23.04.280
DEVYN N047.58.06.000 W121.49.55.590
DEWAX N038.35.47.580 W108.15.16.530
DEWAY N033.56.55.200 W116.44.23.910
DEWEB N035.08.11.130 W106.36.33.270
DEWIE N036.50.22.530 W096.00.46.990
DEWOK N042.52.16.490 W103.03.49.640
DEWOR N044.00.22.320 W093.01.12.910
DEWWW N033.50.31.650 W116.07.17.850
DEWYE N033.58.35.650 W117.32.34.680
DEXBE N035.16.22.550 W101.36.30.020
DEXTR N035.40.44.940 W109.49.56.400
DEYAC N033.52.58.000 W103.41.25.090
DEYAF N033.13.15.310 W119.26.01.710
DEYEB N035.31.41.320 W108.43.00.770
DEYEK N037.50.08.090 W097.12.28.050
DEYEN N046.41.41.340 W105.55.43.810
DEYNE N031.34.19.750 W109.48.31.590
DEYUC N038.10.58.670 W108.08.57.010
DEZRT N040.50.30.000 W112.50.00.000
DEZZY N033.50.44.120 W116.24.08.960
DFUCA N048.25.31.650 W123.01.00.830
DGLAS N047.32.15.570 W122.18.25.570
DHAKS N046.27.29.150 W106.16.08.040
DHATT N039.56.24.360 W104.24.49.660
DHOME N032.43.53.680 W114.31.14.080
DIABO N048.50.01.540 W120.56.13.490
DIAMD N033.37.51.160 W117.17.22.450
DIANN N048.09.51.410 W117.10.39.510
DIANS N039.42.43.260 W121.47.18.770
DIBDE N038.51.30.910 W094.59.55.480
DIBEY N036.43.15.890 W111.24.13.140
DIBGE N033.15.06.240 W117.02.24.410
DIBKE N042.54.26.730 W106.33.13.780
DIBLE N040.13.22.130 W122.17.43.510
DIBPE N046.59.29.720 W120.24.11.950
DIBQE N043.04.00.870 W098.49.05.960
DICED N033.26.44.710 W106.04.21.490
DICEE N037.13.09.580 W111.13.26.180
DICEG N033.55.22.320 W117.20.30.700
DICER N033.02.27.990 W116.54.30.600
DICEV N040.25.03.450 W107.06.53.510
DICIR N033.25.42.550 W111.46.52.640
DICKH N035.26.58.870 W097.38.24.240
DICOT N040.24.31.650 W111.53.28.870
DICSA N035.52.05.330 W115.02.15.100
DIDBE N039.42.07.530 W119.46.07.360
DIDIE N037.42.58.100 W097.24.31.830
DIDLY N047.03.00.720 W114.19.20.190
DIDSE N044.09.46.620 W105.29.41.150
DIELA N036.34.35.790 W114.40.45.070
DIETS N038.53.22.710 W096.01.00.440
DIGAY N034.35.39.280 W109.26.00.490
DIGBE N038.35.23.220 W097.38.43.510
DIGCE N042.21.35.620 W097.42.26.710
DIGEY N046.09.05.520 W114.10.17.860
DIGGN N047.56.49.830 W122.46.00.080
DIGGY N039.27.17.520 W095.20.37.190
DIGHT N035.16.32.730 W097.48.54.790
DIGIT N041.49.03.380 W100.19.35.640
DIGNE N041.32.45.490 W108.47.26.900
DIGQY N037.26.58.740 W120.51.17.210
DIGSE N035.17.41.820 W097.28.50.940
DIGUQ N043.44.56.940 W111.05.48.400
DIHYE N039.09.20.040 W095.45.32.220
DIJER N037.40.36.330 W120.52.59.390
DIJZE N044.01.58.970 W094.01.43.000
DIKAC N043.25.44.760 W116.08.35.610
DIKES N034.36.10.350 W115.59.13.150
DIKGO N044.18.16.990 W093.58.19.270
DIKKA N047.07.30.310 W093.28.46.300
DIKKE N045.33.54.310 W122.28.11.240
DIKNE N039.15.59.380 W119.31.39.400
DILAC N045.25.52.930 W119.43.28.240
DILCO N035.31.52.430 W110.03.55.330
DILLI N031.46.38.030 W104.41.45.900
DILLY N034.49.42.560 W112.36.47.330
DILTS N041.24.09.620 W095.51.06.950
DILVE N039.28.11.480 W104.30.09.760
DIMGE N041.36.46.750 W122.28.37.050
DIMMS N039.10.00.000 W113.17.00.000
DIMSE N044.00.57.060 W108.36.23.820
DINBE N033.56.34.360 W114.28.41.040
DINDE N038.01.15.150 W097.30.11.790
DINGO N032.29.44.340 W111.32.39.720
DINNK N034.03.31.120 W117.42.16.340
DINSE N040.30.40.470 W123.39.37.060
DINUB N036.25.29.420 W119.19.19.180
DIPBA N046.19.02.330 W116.55.07.840
DIPHU N046.56.33.590 W114.41.22.050
DIPME N039.34.32.630 W101.37.48.720
DIPPO N041.35.07.870 W093.32.48.830
DIRBE N038.50.09.770 W121.34.40.450
DIRBY N033.20.33.370 W118.26.56.760
DIRDY N038.55.48.180 W107.30.54.310
DIRGE N035.37.33.710 W097.38.43.870
DIRLE N045.22.29.570 W111.39.26.267
DIRSE N036.54.07.820 W099.37.07.430
DISBE N035.07.12.200 W116.22.54.220
DISCO N048.24.01.040 W123.10.41.840
DISCS N039.39.33.770 W119.46.07.770
DISEY N033.38.39.100 W117.06.36.140
DISKS N038.21.37.750 W098.52.19.210
DISLE N045.43.32.250 W112.14.37.010
DISUW N039.14.40.630 W106.19.19.160
DITLE N041.08.51.760 W111.59.21.100
DITOS N033.30.30.000 W117.53.56.000
DITRE N047.59.02.650 W097.28.47.280
DITRY N040.15.52.740 W097.10.06.400
DITSE N039.29.22.110 W104.38.45.160
DIVAC N035.32.01.030 W117.55.01.890
DIVBE N038.59.38.810 W096.59.11.280
DIVDE N045.18.40.420 W113.52.50.230
DIVEC N037.25.58.380 W121.56.06.030
DIVER N033.35.40.400 W101.36.04.770
DIVEY N032.26.00.000 W102.05.00.000
DIVID N045.53.12.840 W112.42.35.930
DIVIT N036.26.44.150 W119.40.59.730
DIVLE N044.31.32.220 W108.34.17.120
DIVPE N041.47.13.540 W103.19.29.400
DIVVE N043.43.36.120 W111.07.17.240
DIXAN N036.16.51.420 W105.57.19.670
DIXFO N046.05.10.060 W096.09.26.120
DIXGY N046.32.05.540 W095.14.51.990
DIXLE N045.27.44.240 W102.53.32.120
DIXNA N034.37.00.190 W117.57.51.910
DIXXN N033.59.31.270 W117.32.36.670
DIYAT N044.38.58.290 W123.03.40.010
DIYEB N037.23.55.410 W122.02.24.970
DIYEN N045.36.43.960 W100.43.59.820
DIYEP N036.48.44.520 W108.02.38.410
DIYEV N044.34.33.370 W092.29.51.610
DIYLA N040.26.39.800 W117.04.30.140
DIYSA N047.46.51.970 W117.05.56.460
DIZTY N037.22.11.270 W100.21.47.250
DIZZY N036.35.46.740 W121.52.18.970
DJINN N046.44.09.360 W116.55.23.070
DKOTA N045.22.17.000 W097.37.27.000
DLANI N039.07.33.950 W120.03.39.560
DLFRD N039.52.12.980 W102.01.25.630
DLILE N045.32.58.860 W122.10.13.370
DLINE N031.34.25.400 W105.38.37.870
DLITZ N046.46.03.070 W117.00.51.220
DLIUS N033.55.03.160 W117.30.35.970
DLLTA N036.44.29.750 W097.59.15.410
DLRAY N037.27.47.070 W120.39.07.710
DLREY N033.56.37.250 W118.27.54.530
DLSOL N034.59.09.860 W106.30.37.080
DMAGY N046.24.50.800 W118.51.07.800
DMANN N039.11.12.540 W094.49.46.020
DMAWP N032.23.19.080 W111.03.45.840
DMAZH N045.49.48.100 W122.23.03.740
DMBOH N046.41.45.280 W111.36.51.610
DMBOR N045.47.26.540 W122.21.41.280
DMBZK N045.18.06.530 W122.54.29.370
DMDUP N046.28.00.160 W111.39.12.910
DMDZE N043.04.43.030 W094.58.41.360
DMEBW N044.43.06.960 W117.38.54.360
DMEJO N045.19.09.360 W098.12.27.980
DMEKN N046.24.54.550 W111.43.16.220
DMELL N046.26.20.740 W120.02.02.310
DMELU N038.12.35.910 W096.01.53.750
DMEQJ N035.31.47.940 W120.31.14.330
DMESR N047.48.54.960 W114.14.58.700
DMEZG N039.56.12.280 W122.11.08.270
DMFBW N043.53.23.340 W123.10.40.520
DMFOX N046.38.43.620 W114.09.03.060
DMGDB N039.38.02.210 W119.50.59.730
DMGEZ N044.21.34.150 W095.11.26.680
DMJCH N035.07.26.350 W110.59.00.310
DMJSJ N045.01.23.400 W118.02.53.680
DMJSP N045.05.01.980 W118.07.43.390
DMKEX N046.07.33.200 W112.50.52.930
DMLJQ N039.03.53.340 W094.44.15.600
DMLOV N043.55.55.900 W093.24.25.850
DMLPI N043.57.23.350 W093.24.38.630
DMLTS N039.15.45.810 W094.25.32.570
DMMCA N042.26.48.060 W113.31.40.610
DMMKU N044.16.40.630 W110.51.02.860
DMMLR N047.15.51.040 W119.54.59.500
DMMQQ N034.45.36.030 W114.16.18.980
DMMUM N044.16.32.030 W093.27.58.280
DMMWT N046.58.43.250 W093.23.29.050
DMTFB N039.38.24.510 W119.50.07.670
DMVCB N039.38.33.630 W119.50.17.550
DMYHV N033.53.26.350 W117.57.27.460
DMYIH N041.05.40.980 W105.16.25.790
DMYPU N035.28.22.660 W120.28.41.400
DMYPW N035.56.12.940 W120.34.53.050
DMYSU N040.29.22.470 W122.21.19.940
DMYUJ N037.10.03.040 W121.42.30.070
DMYUX N036.58.38.470 W121.56.36.240
DMYWN N032.22.09.760 W111.14.16.920
DMYWZ N034.11.55.620 W118.29.11.160
DMYXI N046.25.47.750 W120.00.44.570
DMYYD N046.24.46.110 W119.57.36.490
DNAHO N033.39.07.570 W111.52.36.480
DNBFB N035.07.21.590 W101.43.58.960
DNBRB N035.19.38.020 W097.39.22.940
DNBVB N035.20.42.810 W097.38.43.640
DNDIS N044.24.37.210 W093.11.43.550
DNERO N035.02.07.140 W114.54.16.390
DNERY N033.51.36.940 W116.21.29.390
DNGER N038.38.54.470 W120.42.20.480
DNGSB N035.19.40.350 W097.32.16.370
DNIDE N035.21.20.630 W106.29.01.890
DNTAY N041.05.16.200 W119.34.29.830
DNUTT N034.47.14.620 W116.33.24.020
DOAME N048.04.30.000 W120.29.00.000
DOBEE N039.46.41.670 W106.11.32.850
DOBKE N034.36.57.070 W099.09.51.070
DOBRA N035.17.55.430 W120.44.56.210
DOBRE N043.55.32.150 W094.37.49.590
DOBSE N037.46.29.420 W101.50.26.590
DOBYS N040.58.18.510 W115.52.28.160
DOBZU N038.12.36.500 W117.10.57.900
DOCAB N039.02.50.320 W094.40.07.360
DOCAL N037.15.13.020 W122.01.26.190
DOCAN N046.53.41.510 W098.43.45.700
DOCAS N043.53.00.500 W121.27.00.830
DOCBA N041.38.15.730 W098.58.41.310
DOCEL N043.36.50.440 W094.02.51.780
DOCKN N045.27.43.570 W093.23.26.630
DOCKR N033.55.54.640 W118.27.29.170
DOCKY N039.29.59.760 W104.36.11.170
DOCRA N046.58.01.610 W123.11.37.670
DODAH N035.26.20.710 W109.03.02.070
DODDL N035.49.28.800 W114.51.51.290
DODGR N033.55.44.620 W118.08.18.630
DODJR N034.29.38.860 W117.37.03.960
DODSE N047.32.44.410 W114.18.39.620
DODSN N038.43.28.130 W095.02.18.410
DODVE N047.29.55.590 W122.18.26.800
DODYE N043.49.41.580 W095.06.36.420
DOERE N038.53.14.120 W094.15.52.200
DOFDO N047.06.46.380 W119.55.34.840
DOFER N037.07.21.570 W120.13.49.240
DOGFT N032.44.06.260 W117.01.25.110
DOGGG N039.47.54.320 W104.30.03.310
DOGGO N043.30.44.510 W094.03.14.920
DOGIN N034.56.51.900 W101.13.29.950
DOGNE N048.51.27.930 W105.31.05.330
DOGSE N034.51.04.140 W116.30.28.200
DOGSS N034.07.20.790 W103.41.29.450
DOHHN N031.50.38.560 W107.42.30.000
DOHRS N038.59.48.380 W103.01.05.660
DOJOE N034.47.22.570 W109.38.09.160
DOJOS N035.37.31.480 W120.34.48.510
DOKAY N048.20.58.050 W101.13.00.140
DOKKS N037.34.25.770 W122.03.05.860
DOKTR N044.15.29.080 W092.55.20.920
DOKXE N044.31.46.990 W100.02.36.380
DOLBE N037.53.07.570 W097.09.56.640
DOLCE N038.23.45.060 W121.50.32.040
DOLEC N046.57.29.570 W098.38.16.730
DOLEE N044.54.02.690 W093.32.36.020
DOLFF N048.20.00.000 W128.00.00.000
DOLLA N045.39.40.980 W123.04.37.990
DOLLF N033.28.50.090 W118.00.07.240
DOLRR N037.34.15.380 W108.36.35.520
DOLTN N034.38.45.270 W117.49.46.450
DOLTS N043.23.39.340 W097.12.16.110
DOMAC N037.21.20.430 W121.55.19.910
DOMLE N034.47.00.270 W099.03.19.550
DOMMS N035.32.18.470 W113.50.11.280
DOMRE N048.22.04.490 W107.47.02.290
DOMVE N046.38.48.020 W112.16.02.250
DONHO N041.13.28.230 W099.36.00.090
DONII N033.11.48.120 W105.39.58.610
DONKK N034.14.48.430 W103.29.17.890
DONLY N033.10.48.320 W104.39.48.650
DONMO N035.31.36.680 W097.36.34.690
DONNG N037.35.12.180 W122.15.05.040
DONNR N037.43.23.950 W117.57.43.560
DONNS N039.32.22.440 W094.03.21.450
DONSS N035.14.02.650 W101.50.56.680
DONTE N038.00.24.600 W103.43.31.200
DONTT N039.38.59.050 W104.30.11.900
DONVY N042.58.03.910 W108.10.00.360
DOOBY N034.17.40.970 W118.48.13.670
DOODL N033.44.58.720 W112.44.47.030
DOOGI N047.21.08.280 W120.06.35.990
DOOGR N033.09.37.640 W117.31.20.800
DOOKK N034.48.39.840 W106.31.20.500
DOOKR N046.31.38.380 W111.29.03.650
DOONS N034.12.51.130 W103.09.16.070
